grass_region,category_group,seller_type,shopee_item_id,shopee_model_id,competitor_item_id,competitor_model_id,shopee_model_price_usd,shopee_model_price,competitor_model_price,shopee_gmv_usd,shopee_order,shopee_model_competitiveness_status
PH,Lifestyle,Cross Border,698139728,7166267530,920952679,1752721526,46.61373054,2637,2402,4287.501767,92,Shopee > CPT
ID,Lifestyle,Mall,1161851714,8037565497,6076022450,9561536847,75.50092283,1168792,942750,12155.6482,161,Shopee > CPT
VN,Fashion,Non-Mall,3636458036,9391372243,5890302270,5599604624,283.9218758,6907109,6517108,25269.04536,89,Shopee > CPT
TH,Electronics,Long Tail (LT),4626067381,7218510892,3118472212,6459808197,125.087928,4564,4804,6879.804859,55,Shopee < CPT
ID,FMCG,Non-Mall,8682707484,2934933754,956390838,7560609664,321.7850162,4981392,5367307,30569.57075,95,Shopee < CPT
MY,Fashion,Mall,5669537896,2369932401,6623114586,2184433998,122.2639471,573,627,6724.275884,55,Shopee < CPT
PH,Electronics,Cross Border,9938297369,1321353518,8486400344,3996345705,51.55419927,2917,2662,1185.688534,23,Shopee > CPT
PH,Fashion,Mall,8164933555,5231672534,5125402314,798564969,151.1593742,8553,6881,12999.39912,86,Shopee > CPT
ID,Electronics,Cross Border,7019608532,7850797980,2244557768,5027986974,237.682788,3679448,3652008,22104.49688,93,Shopee > CPT
SG,Electronics,Mall,3461460289,2506212130,9600740387,1776051512,66.02726922,89,79,1502.881686,23,Shopee > CPT
MY,Lifestyle,Non-Mall,9461602933,627520828,3439922175,155896180,247.0019204,1157,1036,3456.126314,14,Shopee > CPT
ID,Fashion,Mall,7545243792,4909464279,5171431729,2520100886,33.14723649,513135,609036,2353.450147,71,Shopee < CPT
SG,Lifestyle,Long Tail (LT),1150998125,3221997627,7055781466,3582943180,50.40592142,68,61,4193.678646,84,Shopee > CPT
ID,Lifestyle,Long Tail (LT),6683354913,2523083053,7995057792,1079744323,256.7667365,3974877,3929654,13095.10203,51,Shopee > CPT
ID,FMCG,Cross Border,855764920,8547587604,8900089518,1393959991,377.1447248,5838388,6426741,39977.33458,106,Shopee < CPT
ID,Lifestyle,Non-Mall,4450528552,4045335604,3406986195,7662266051,80.72643482,1249685,1154192,11301.69568,140,Shopee > CPT
TH,Fashion,Long Tail (LT),9814740409,7110808269,2084379563,9657949489,293.7823698,10719,11040,4994.25815,17,Shopee < CPT
TH,FMCG,Cross Border,3652740530,3911698529,5644332633,2464491816,142.4202254,5196,5574,23924.68447,168,Shopee < CPT
VN,Lifestyle,Non-Mall,6645775238,7749766400,270989761,6981820212,154.677521,3762917,3457100,28924.69341,187,Shopee > CPT
ID,FMCG,Mall,6835648275,7535807404,4805746579,9017783060,382.7666453,5925419,5793136,39042.19747,102,Shopee > CPT
SG,Fashion,Long Tail (LT),3103123631,3809763253,1574031564,774298964,60.99311655,83,94,1096.876032,18,Shopee < CPT
VN,Fashion,Non-Mall,9706655633,8811361881,727757975,2334543094,31.08602144,756245,803813,5595.482479,180,Shopee < CPT
ID,Fashion,Mall,1826052427,4451809895,7288425468,4228178808,42.0250114,650568,636495,8362.974839,199,Shopee > CPT
ID,Lifestyle,Mall,5846483208,4002348630,3342349570,3613106613,63.40557176,981549,974205,11032.55877,174,Shopee > CPT
TH,Electronics,Non-Mall,2813491732,5513178556,264821728,1081445332,107.7284489,3930,3531,7755.197128,72,Shopee > CPT
MY,FMCG,Cross Border,6010335368,4000084612,4011323749,2839373354,5.838790551,27,27,720.1152184,125,Shopee = CPT
PH,Lifestyle,Long Tail (LT),8357788346,7634904305,8638925155,9887506659,314.2768275,17783,18504,8799.731373,28,Shopee < CPT
ID,Lifestyle,Long Tail (LT),5621980546,189938983,6031662274,5335038557,80.34996748,1243857,1091286,11570.38907,144,Shopee > CPT
ID,Electronics,Long Tail (LT),4279330578,8866275226,7435453219,5657449052,79.74515409,1234494,1379013,9808.647137,123,Shopee < CPT
MY,FMCG,Cross Border,3779523430,3678222731,5724334199,1942605545,55.42385722,259,214,6189.363632,112,Shopee > CPT
SG,Electronics,Cross Border,7009328513,1809015772,7254766471,8209904808,3.60773774,4,4,281.9279762,96,Shopee = CPT
ID,Electronics,Mall,2283795848,9991993958,8540141583,7186599164,44.68587345,691759,793309,1474.632409,33,Shopee < CPT
PH,Lifestyle,Long Tail (LT),3137927404,763538849,550460734,6784953964,85.4869273,4837,5295,11283.82582,132,Shopee < CPT
SG,Lifestyle,Non-Mall,4464825446,1473962592,9754623957,8269878407,315.5754098,429,379,44725.23035,142,Shopee > CPT
TH,Fashion,Long Tail (LT),8027930079,6006999693,9936439172,4886933268,262.3508402,9572,9595,8657.339016,33,Shopee < CPT
TH,Fashion,Long Tail (LT),8545717292,3125148263,3425491327,6296244447,79.1562309,2888,2879,12189.49474,154,Shopee > CPT
ID,FMCG,Cross Border,8820793391,1019915671,3321075184,7887807699,106.8247683,1653700,1637203,10041.52321,94,Shopee > CPT
PH,Fashion,Long Tail (LT),6104701276,8554505626,227471278,1579475149,89.39506492,5058,6063,16626.39615,186,Shopee < CPT
TH,FMCG,Cross Border,1242566292,4467980441,9534055124,5649817137,18.15237715,662,599,707.6041824,39,Shopee > CPT
ID,Lifestyle,Long Tail (LT),2064515226,5713722097,7969033161,7509588928,402.0499175,6223933,5481747,38998.83731,97,Shopee > CPT
TH,Lifestyle,Cross Border,8945624495,4352892990,8349722668,9846652192,131.9023951,4812,4044,8176.832527,62,Shopee > CPT
ID,Electronics,Non-Mall,2274407968,5244382021,3472667013,3185849083,14.55019658,225244,218014,1702.370595,117,Shopee > CPT
ID,FMCG,Mall,4371279397,3816218907,6561789706,9340887717,369.4388967,5719098,6615341,27338.47434,74,Shopee < CPT
ID,Lifestyle,Cross Border,8905817015,1342530701,1035911853,8160374259,336.0581626,5202348,4305279,3360.581377,10,Shopee > CPT
ID,Fashion,Cross Border,5243647664,490464772,8951971406,7509334,18.42249511,285189,272362,700.053745,38,Shopee > CPT
SG,Electronics,Long Tail (LT),2841402427,8132396371,7886148726,3215014614,28.50032581,38,34,1004.368415,36,Shopee > CPT
ID,Lifestyle,Non-Mall,5542902434,7449878171,9824515831,7906080948,16.01216299,247876,228431,2241.700203,140,Shopee > CPT
MY,Fashion,Long Tail (LT),8313050952,6498014657,7431457234,7447504864,329.8610943,1545,1769,329.6527444,1,Shopee < CPT
ID,Lifestyle,Long Tail (LT),2173784094,9159442482,8236063517,6355590081,44.52697013,689299,742792,6055.661251,136,Shopee < CPT
ID,Electronics,Mall,5083415412,3291294903,5257057955,3182099038,7.660530891,118588,98885,206.8328542,27,Shopee > CPT
TH,Fashion,Non-Mall,2341811499,324814769,2403373494,9945753237,32.21775289,1175,1176,4186.479931,130,Shopee < CPT
ID,Fashion,Non-Mall,1344466543,8741503643,3817729333,8737546114,134.9634455,2089301,1934681,19569.69381,145,Shopee > CPT
TH,FMCG,Cross Border,3955133744,6210515062,6068998834,8047261398,11.7533426,428,365,1571.869047,134,Shopee > CPT
ID,Fashion,Non-Mall,9633616967,8939310663,9758039005,3055179336,263.4370502,4078137,4508034,31349.00701,119,Shopee < CPT
ID,Fashion,Cross Border,5045687278,6351711119,177091805,213040193,82.34964532,1274813,1317702,1482.29282,18,Shopee < CPT
MY,Lifestyle,Non-Mall,3882684611,9444754594,2412473514,2067159452,208.6043118,977,1091,2918.440284,14,Shopee < CPT
ID,Electronics,Mall,4391864564,8200922688,6169468274,8776301961,122.82781,1901435,2153287,1965.244017,16,Shopee < CPT
ID,FMCG,Cross Border,8187988842,7640333470,4986047725,1705853495,85.11335728,1317597,1421385,16426.87387,193,Shopee < CPT
ID,Lifestyle,Long Tail (LT),6150097962,6220578280,4948461412,4763433761,28.28971991,437939,387956,792.1121411,28,Shopee > CPT
TH,Lifestyle,Cross Border,4023184675,5466729747,7413420395,7137529750,5.657828245,206,201,942.8692804,167,Shopee > CPT
TH,FMCG,Long Tail (LT),6569671776,5382558252,6241758396,1296290335,17.37390665,633,721,1908.377071,110,Shopee < CPT
ID,Electronics,Long Tail (LT),8943228943,8969518418,5192885872,8445828891,100.394755,1554161,1696803,8332.764639,83,Shopee < CPT
VN,Electronics,Non-Mall,1760042349,5624860453,3200433037,336200907,242.4477795,5898148,6368674,14061.97036,58,Shopee < CPT
TH,Fashion,Non-Mall,4912594705,5761910323,4374065808,4172914225,110.7501002,4040,3540,4096.857742,37,Shopee > CPT
ID,Fashion,Mall,6270545907,7232764821,3801078909,9829163365,322.2697986,4988897,4061919,6123.125416,19,Shopee > CPT
ID,Fashion,Mall,1329215520,8463733667,4159145066,1210133310,125.8891593,1948827,1853349,12211.24763,97,Shopee > CPT
ID,FMCG,Mall,2977421315,2578066778,4523892916,6987728399,53.44042148,827284,774201,1656.652175,31,Shopee > CPT
SG,Electronics,Non-Mall,6734594460,9584268773,4602764635,1158023491,81.58504434,111,115,2118.864946,26,Shopee < CPT
TH,FMCG,Cross Border,3782670531,417050629,9139594276,2060689650,28.5156679,1040,1079,2565.332383,90,Shopee < CPT
VN,FMCG,Non-Mall,3758254263,7631319923,4042177063,3871386056,56.35568784,1370992,1295297,7889.790566,140,Shopee > CPT
MY,Lifestyle,Long Tail (LT),7024732765,7799072928,839249831,4998824803,1.214508654,5,4,155.7582547,146,Shopee > CPT
PH,Fashion,Mall,5730704681,2687352986,5065187738,1174022146,26.29715787,1487,1306,5150.784674,196,Shopee > CPT
ID,Fashion,Cross Border,3674842206,6387395021,4743765160,3956809085,40.01876927,619510,578608,1240.580731,31,Shopee > CPT
VN,Lifestyle,Cross Border,6834047101,2813217175,6968179169,1155892747,23.04700426,560675,498493,3871.889837,168,Shopee > CPT
ID,FMCG,Long Tail (LT),8519111653,3987925164,8676540248,642468492,261.3065501,4045156,4661704,40763.82132,156,Shopee < CPT
ID,Fashion,Non-Mall,3895177884,6719761206,9240879660,2820514050,131.5578621,2036581,2223163,19602.11679,149,Shopee < CPT
ID,Electronics,Non-Mall,1059893675,4696773947,7397439338,8730484502,30.02819055,464851,490066,5435.097768,181,Shopee < CPT
ID,Fashion,Mall,9746513880,7767586628,4140424129,4681156320,174.2007758,2696715,2711821,14981.26611,86,Shopee < CPT
VN,Lifestyle,Non-Mall,1047171109,8222192286,1983841349,525439611,214.1804521,5210474,5337482,41765.18056,195,Shopee < CPT
ID,Electronics,Cross Border,297670968,4876614256,5917867776,40958064,1.680885598,26020,24604,132.7851168,79,Shopee > CPT
ID,Fashion,Non-Mall,5889169424,8549984454,5191450778,5946922961,299.6404514,4638584,5408901,26668.00013,89,Shopee < CPT
TH,Fashion,Long Tail (LT),9424306099,5992642547,800122958,7745724687,131.8369796,4810,4505,25574.93868,194,Shopee > CPT
SG,Fashion,Cross Border,7989919099,6674608239,2201356179,906730562,27.07731076,36,39,3753.166183,142,Shopee < CPT
TH,Lifestyle,Mall,3864322887,3791463965,1004974424,5061532218,209.37111,7639,7571,40407.46578,193,Shopee > CPT
PH,FMCG,Non-Mall,3900185434,1112802389,6709324432,7975723601,218.2813965,12351,13630,16152.51661,74,Shopee < CPT
MY,Fashion,Mall,425054869,4007476456,503360599,9676122528,183.1344485,858,895,3844.455113,21,Shopee < CPT
ID,Lifestyle,Cross Border,9408363150,2385952589,5668615184,6647580962,90.92299066,1407533,1133493,1363.844514,15,Shopee > CPT
TH,Lifestyle,Non-Mall,7887319185,7639399272,2099685214,9608552272,347.8523208,12691,11152,32347.93691,93,Shopee > CPT
PH,FMCG,Non-Mall,3982185414,4665960885,3770005384,8781710496,424.2822106,24007,20363,48791.26608,115,Shopee > CPT
VN,Fashion,Non-Mall,8514097146,6078241639,8866995037,2771946437,195.7750934,4762718,5483813,8222.552913,42,Shopee < CPT
ID,Fashion,Cross Border,8724235910,4922821426,5824817154,4262435507,209.8468666,3248534,2853261,15528.66613,74,Shopee > CPT
TH,Fashion,Non-Mall,8534978337,5470944289,6770128631,5087116344,10.25392557,374,364,1496.55352,146,Shopee > CPT
ID,FMCG,Long Tail (LT),6929375947,9817387675,2282358330,4391914014,42.27449796,654430,621819,5453.40719,129,Shopee > CPT
